"post_number","scheduled_date","product_name","category","caption","image_url","additional_images","product_link","price","on_sale","post_type"
"11","2026-04-01 10:00","Cat Self-Grooming Wall Brush","Pet Hair Removers & Combs","🔥 SALE ALERT! Cat Self-Grooming Wall Brush — was $1.98, now just $1.48!

Say goodbye to fur on your clothes, couch, and bed!

Don't miss out — limited time only!

🛒 Shop: https://pawzenpets.shop/usd/products/cat-self-grooming-brush-pet-wall-rubbing-device
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetHairRemoval #FurFree #PetGrooming #CleanHome #FurBaby #DogsOfInstagram #Instadog #PetParent #CatMom #Instacat #PetLover #AdoptDontShop","https://api.pawzenpets.shop/media/thumbnails/products/import-1773181386132-qiyi_5bcfdb4f_thumbnail_1024.png","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjIxNjM=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjIxNjQ=/1024/ | https://api.pawzenpets.shop/media/thumbnails/products/import-1773181388401-mipl_c473e654_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/cat-self-grooming-brush-pet-wall-rubbing-device","$1.48","YES","SALE"
"12","2026-04-01 15:00","Cooling Dog Harness Vest — Breathable","Pet Harnesses","Treat your fur baby without breaking the bank! 🐕‍🦺💪

Cooling Dog Harness Vest — Breathable — $21.28 (save 10%!)

No-pull design for comfortable, safe walks together.

🛒 Shop: https://pawzenpets.shop/usd/products/pets-dog-vest-chest-strap-harness-air-conditioner-cooling-and-breathable-with-ai
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #DogHarness #DogWalk #WalkTime #DogLife #NoPull #PetLover #CatsOfInstagram #PetsOfInstagram #DogsOfInstagram #AdoptDontShop #FurBaby #CatMom","https://api.pawzenpets.shop/media/thumbnails/products/import-1773180659991-lmme_b745f1aa_thumbnail_1024.jpg","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE4NzY=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE4Nzc=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE4Nzg=/1024/","https://pawzenpets.shop/usd/products/pets-dog-vest-chest-strap-harness-air-conditioner-cooling-and-breathable-with-ai","$21.28","YES","SALE"
"13","2026-04-02 10:00","Cat Window Hammock","Pet Hammocks","Does your pet need a window perch? 🐱☀️

The Cat Window Hammock is the perfect solution!

Let your cat sunbathe in style with this window-mounted hammock!

💰 $10.65

🛒 Shop: https://pawzenpets.shop/usd/products/cat-window-chuck-hammock
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #CatHammock #WindowCat #CatNap #CatLife #SunBathing #FurBaby #CatDad #DogMom #CatsOfInstagram #AdoptDontShop #PetLover #PetParent","https://api.pawzenpets.shop/media/thumbnails/products/import-1773180208964-qmde_100bc519_thumbnail_1024.png","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE2MDE=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE2MDI=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE2MDM=/1024/","https://pawzenpets.shop/usd/products/cat-window-chuck-hammock","$10.65","NO","STANDARD"
"14","2026-04-02 15:00","Dog Training Urine Pad","Dog Training Pads & Diapers","🐕📋 Dog Training Urine Pad

Super-absorbent, leak-proof pads for stress-free training.

💰 $22.50

🛒 Shop: https://pawzenpets.shop/usd/products/dog-detection-urine-pad
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetTravel #DogTravel #AdventureDog #TravelWithPets #Instacat #Instadog #DogDad #DogMom #CatsOfInstagram #CatMom #PetParent #PetLover","https://api.pawzenpets.shop/media/thumbnails/products/import-1773112106349-jvid_284f4eff_thumbnail_1024.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773112108032-g332_75b9e094_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773112109579-5v12_a72c33c5_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773112111323-1uke_515ad21a_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/dog-detection-urine-pad","$22.50","NO","STANDARD"
"15","2026-04-03 10:00","Interactive Dog Puzzle Feeder — Duck Design","Pet Training and Educational Toys","Treat your fur baby without breaking the bank! 🐾❤️

Interactive Dog Puzzle Feeder — Duck Design — $11.28 (save 20%!)

Premium quality at an affordable price — your pet will love it!

🛒 Shop: https://pawzenpets.shop/usd/products/dog-puzzle-feeder-interactive-pet-food-treat-dispenser-cartoon-duck-design-anti-
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetSupplies #PetLovers #PetParent #FurBaby #PetShop #PetLover #CatMom #CatDad #DogsOfInstagram #DogMom #CatsOfInstagram #DogDad","https://api.pawzenpets.shop/media/thumbnails/products/import-1773181927910-wg3k_35977800_thumbnail_1024.jpg","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjI0NTg=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjI0NTk=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjI0NjA=/1024/","https://pawzenpets.shop/usd/products/dog-puzzle-feeder-interactive-pet-food-treat-dispenser-cartoon-duck-design-anti-","$11.28","YES","SALE"
"16","2026-04-03 15:00","Pet Deshedding Glove — All Fur Types","Pet Hair Removers & Combs","Making life better, one paw at a time. ✨🏠

Pet Deshedding Glove — All Fur Types — because pets deserve the best.

💰 $1.42

🛒 Shop: https://pawzenpets.shop/usd/products/pet-hair-remover-mitt-pet-hair-remover-gloves-deshedding-brush-glove-for-dog-cat
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetHairRemoval #FurFree #PetGrooming #CleanHome #Instacat #DogsOfInstagram #Instadog #DogDad #CatDad #PetParent #CatMom #DogMom","https://api.pawzenpets.shop/media/thumbnails/products/import-1773180346687-sgcc_0d22f42c_thumbnail_1024_VxU1PoK.jpg","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE2ODk=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE2OTA=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE2OTE=/1024/","https://pawzenpets.shop/usd/products/pet-hair-remover-mitt-pet-hair-remover-gloves-deshedding-brush-glove-for-dog-cat","$1.42","NO","HERO"
"17","2026-04-04 10:00","Portable Pet Safety Gate — Mesh","Pet Outdoor Supplies","Every pet deserves a little luxury. 🐾❤️

The Portable Pet Safety Gate — Mesh is designed with love for your furry friend.

💰 $34.45

🛒 Shop: https://pawzenpets.shop/usd/products/pets-dog-cat-baby-safety-gate-mesh-fence-magic-portable-guard-net-stairs-doors
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetSupplies #PetLovers #PetParent #FurBaby #PetShop #DogDad #CatDad #PetsOfInstagram #CatMom #DogMom #DogsOfInstagram #PetParent","https://api.pawzenpets.shop/media/thumbnails/products/import-1773180504141-km13_c154ed4c_thumbnail_1024_JmhU2fG.jpg","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE4MDc=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE4MDg=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE4MDk=/1024/","https://pawzenpets.shop/usd/products/pets-dog-cat-baby-safety-gate-mesh-fence-magic-portable-guard-net-stairs-doors","$34.45","NO","STANDARD"
"18","2026-04-04 15:00","Tactical Reflective Dog Chest Harness","Pet Harnesses","Treat your fur baby without breaking the bank! 🐕‍🦺💪

Tactical Reflective Dog Chest Harness — $20.01 (save 10%!)

No-pull design for comfortable, safe walks together.

🛒 Shop: https://pawzenpets.shop/usd/products/pet-dog-anti-breakaway-and-anti-rush-reflective-breathable-chest-harness-for-wal
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #DogHarness #DogWalk #WalkTime #DogLife #NoPull #DogsOfInstagram #PetsOfInstagram #CatDad #CatsOfInstagram #DogMom #Instacat #CatMom","https://api.pawzenpets.shop/media/thumbnails/products/import-1773180961831-d069_75d3a830_thumbnail_1024.jpg","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE5ODE=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE5ODI=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE5ODM=/1024/","https://pawzenpets.shop/usd/products/pet-dog-anti-breakaway-and-anti-rush-reflective-breathable-chest-harness-for-wal","$20.01","YES","SALE"
"19","2026-04-05 10:00","Donut Cat Tunnel Bed — Natural Felt","Pet Tunnel Toys","Treat your fur baby without breaking the bank! 🐱🏠

Donut Cat Tunnel Bed — Natural Felt — $6.64 (save 10%!)

A tunnel AND a bed — your cat will never want to leave!

🛒 Shop: https://pawzenpets.shop/usd/products/donut-cat-tunnel-bed-pets-house-natural-felt-pet-cat-cave-interactive-toys-round
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #CatTunnel #CatFurniture #CatLife #CatLovers #PetsOfInstagram #PetParent #DogsOfInstagram #Instacat #Instadog #AdoptDontShop #DogDad #CatDad","https://api.pawzenpets.shop/media/thumbnails/products/import-1773112019955-amby_48745bb7_thumbnail_1024.jpg","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjEzNTM=/1024/ | https://api.pawzenpets.shop/media/thumbnails/products/import-1773112021976-0nem_9dc161a4_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773112022449-8gy3_119bf83b_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/donut-cat-tunnel-bed-pets-house-natural-felt-pet-cat-cave-interactive-toys-round","$6.64","YES","SALE"
"20","2026-04-05 15:00","Portable Foldable Dog Water Bottle","Pet Drinking Tools","Does your pet need a hydration solution? 💧🐾

The Portable Foldable Dog Water Bottle is the perfect solution!

Fresh, clean water wherever your adventures take you!

💰 $7.60

🛒 Shop: https://pawzenpets.shop/usd/products/dog-portable-water-bottle-foldable-pet-water-dispenser-pet-products
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetHydration #WaterFountain #DogWater #HealthyPet #Instacat #CatMom #FurBaby #DogMom #AdoptDontShop #DogsOfInstagram #Instadog #CatDad","https://api.pawzenpets.shop/media/thumbnails/products/import-1773182126737-pidm_e124d4f2_thumbnail_1024.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773182127349-h448_efc2fc6d_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773182127837-ycma_2677533e_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773182128177-fp0z_243bd4b1_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/dog-portable-water-bottle-foldable-pet-water-dispenser-pet-products","$7.60","NO","HERO"
"21","2026-04-06 10:00","Automatic Pet Feeder & Water Dispenser","Pet Bowls","🔥 SALE ALERT! Automatic Pet Feeder & Water Dispenser — was $13.77, now just $11.70!

Designed for healthy eating habits and easy cleanup.

Don't miss out — limited time only!

🛒 Shop: https://pawzenpets.shop/usd/products/automatic-pet-cat-feeder-water-dispenser
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetFeeding #DogBowl #CatBowl #PetHealth #HealthyPet #AdoptDontShop #Instacat #PetLover #Instadog #FurBaby #CatMom #CatsOfInstagram","https://api.pawzenpets.shop/media/thumbnails/products/import-1773112465375-7g45_43587969_thumbnail_1024.jpg","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE1ODM=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE1ODQ=/1024/ | https://api.pawzenpets.shop/media/thumbnails/products/import-1773112469132-tjxh_5c901cd9_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/automatic-pet-cat-feeder-water-dispenser","$11.70","YES","SALE"
"22","2026-04-06 15:00","Pet sweater","Pet Sweatshirts & Hoodies","Does your pet need a warm layer? 👕🐶

The Pet sweater is the perfect solution!

Soft, stretchy, and oh-so-cute winter wear!

💰 $7.60

🛒 Shop: https://pawzenpets.shop/usd/products/pet-sweater
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #DogClothes #PetFashion #DogStyle #CuteDog #PetOutfit #AdoptDontShop #CatsOfInstagram #FurBaby #CatMom #DogDad #PetLover #DogsOfInstagram","https://api.pawzenpets.shop/media/thumbnails/products/import-1773180564189-l09r_1b26e810_thumbnail_1024.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773180565608-mv51_2f9c7394_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773180566212-ev01_1b1313d4_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773180567531-3kr6_27645869_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/pet-sweater","$7.60","NO","HERO"
"23","2026-04-07 10:00","Plush Round Pet Bed — Winter","Pet Nests","Every pet deserves a little luxury. 😴🐾

The Plush Round Pet Bed — Winter is designed with love for your furry friend.

💰 $11.33

🛒 Shop: https://pawzenpets.shop/usd/products/plush-round-pet-bed-dog-bed-winter
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetBed #CozyPet #DogBed #CatBed #NapTime #PetComfort #DogDad #DogMom #CatDad #FurBaby #DogsOfInstagram #PetParent","https://api.pawzenpets.shop/media/thumbnails/products/import-1773111909869-dppo_52b17293_thumbnail_1024.jpg","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjEzMjQ=/1024/ | https://api.pawzenpets.shop/media/thumbnails/products/import-1773111910394-2c9i_b04a967c_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773111910629-fp2w_dda71019_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/plush-round-pet-bed-dog-bed-winter","$11.33","NO","HERO"
"24","2026-04-07 15:00","Smart LED Cat Laser Toy","Pet Chase Toys","Every pet deserves a little luxury. 🐱✨

The Smart LED Cat Laser Toy is designed with love for your furry friend.

💰 $31.10

🛒 Shop: https://pawzenpets.shop/usd/products/creative-cat-pet-led-laser-funny-toy-smart-automatic-cat-exercise-training-enter
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #CatPlay #LaserCat #CatLife #CatMom #CatDad #FunnyCat #DogsOfInstagram #AdoptDontShop #Instadog #PetsOfInstagram #PetLover #DogDad","https://api.pawzenpets.shop/media/thumbnails/products/import-1773181947320-2ef7_682a72e0_thumbnail_1024.jpg","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjI0NzQ=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjI0NzU=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjI0NzY=/1024/","https://pawzenpets.shop/usd/products/creative-cat-pet-led-laser-funny-toy-smart-automatic-cat-exercise-training-enter","$31.10","NO","HERO"
